objectid,filename,title,creator,description,date,date is approximate?,subject,location,latitude,longitude,digital collection,source,identifier,digital_source,format original,format,type,rights,rights (standardized),language
shitamae001,mg387_03_001.jpg,Letter to Shihei (George) Shitamae [1],,Letter written in Japanese.,1944,yes,,,,,,George Shihei Shitamae papers,mg387_03_001,,,image/jpg,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn
shitamae002,mg387_03_002.pdf,Letter to Shihei (George) Shitamae [2],,Letter written in Japanese.,10/7/1944,no,,,,,,George Shihei Shitamae papers,mg387_03_002,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn
shitamae003,mg387_03_003.pdf,Letter to Shihei (George) Shitamae [3],,Letter written in Japanese.,10/13/1944,no,,,,,,George Shihei Shitamae papers,mg387_03_003,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn
shitamae004,mg387_03_004.pdf,Letter to Shihei (George) Shitamae from Midori Fujii [1],"Fujii, Midori",Letter updating George Shihei Shitamae on the weather and what various family members are doing.,4/24/1943,no,travel;weather;activities (general context);celebrations,,,,,George Shihei Shitamae papers,mg387_03_004,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae007,mg387_03_007.pdf,Letter to Shihei (George) Shitamae from Midori Fujii [2],"Fujii, Midori",Letter thanking George Shihei Shitamae for a chest that he sent her. Midori Fijii also discusses the weather and mentions her dog and it's new puppies. ,3/1/1944,no,gifts (object genre);weather;pets (domestic animals),"Hunt, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_007,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae008,mg387_03_008.pdf,Letter to Shihei (George) Shitamae [4],,Letter written in Japanese.,1944,yes,,,,,,George Shihei Shitamae papers,mg387_03_008,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn
shitamae009,mg387_03_009.jpg,Drawing sent to Shihei (George) Shitamae from Kagumi Shitamae [1],"Shitamae, Kagumi",Drawing sent to George Shihei Shitamae from his niece Kagumi. ,1944,yes,drawings (visual works);children (people by age group),,,,,George Shihei Shitamae papers,mg387_03_009,,,image/jpg,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae010,mg387_03_010.jpg,Drawing sent to Shihei (George) Shitamae from Kagumi Shitamae [2],"Shitamae, Kagumi",Drawing sent to George Shihei Shitamae from his niece Kagumi. ,1944,yes,drawings (visual works);children (people by age group),,,,,George Shihei Shitamae papers,mg387_03_010,,,image/jpg,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae011,mg387_03_011.pdf,Letter to Shihei (George) Shitamae from the Department of Justice,Department of Justice,Letter from the Department of Justice authorizing a rehearing for George Shihei Shitamae. ,2/23/1944,no,hearings (event);,"Washington, DC",38.9072,-77.0369,,George Shihei Shitamae papers,mg387_03_011,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
shitamae012,mg387_03_012.pdf,Letter to Shihei (George) Shitamae from Midori Fujii [3],"Fujii, Midori",Letter describing being transported from Camp Harmony in Puyallup to the Minidoka Camp. ,9/15/1942,no,travel;trains (vehicle groupings);scenery (landscape),"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_012,,,application/pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
